Index,Raw #,#,Set,Name,Team,Pts.,Yr.,OB/C,Spd/IP,Pos,H,Icon,PU,SO,GB,FB,W,S,S+,DB,TR,HR
'03 104-1 UL,104,104-1,UL,Gary Sheffield,Braves,720,'03,13,17,LF-RF+1,R,,-,1-,2-4,5-6,7-10,11-14,15-16,17-18,-,19+
'03 124 CC,124,124,CC,Rod Carew,Angels,720,'03,14,20,"2B+3, 1B+0",L,RY S V,-,1-,2-4,5-,6-7,8-16,17-18,19-,20-26,27+
'05 173 CC,173,173,CC,Rod Carew,Twins,720,'05,14,22,1B+1,L,V S,,1-,2-4,5-,6-7,8-16,17-18,19-,20-26,27+
'03 294 UL,294,294,UL,Alex Rodriguez,Rangers,710,'03,12,12,SS+5,R,HR S G,-,1-2,3-4,5-6,7-10,11-16,-,17-,-,18+
'03 210 UL,210,210,UL,Alfonso Soriano,Yankees,710,'03,11,23,2B+1,R,S SB,-,1-2,3-4,5-6,7-,8-11,12-14,15-17,-,18+
'03 123 CC,123,123,CC,Harmon Killebrew,Twins,710,'03,12,11,1B+1,R,HR S V,-,1-2,3-,4-6,7-11,12-14,-,15-16,-,17+
'03 103-1 UL,103,103-1,UL,Carlos Delgado,Blue Jays,700,'03,13,10,1B+1,L,,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'04 24-1 UL,24,24-1,UL,Jason Schmidt,Giants,700,'04,6,7,Starter,R,,1-2,3-8,9-13,14-16,17-,18-21,-,22-25,-,26+
'01 72-1 1st,72,72-1,1st,Pedro Martinez,Red Sox,700,'01,5,7,Starter,R,,1-2,3-10,11-14,15-17,18-,19-20,-,-,-,-
'01 72 AP,72,72,AP,Pedro Martinez,Red Sox,700,'01,5,7,Starter,R,,1-2,3-10,11-14,15-17,18-,19-20,-,-,-,-
'01 72 UL,72,72,UL,Pedro Martinez,Red Sox,700,'01,5,7,Starter,R,,1-2,3-10,11-14,15-17,18-,19-20,-,-,-,-
'05 172 CC,172,172,CC,Reggie Jackson,Yankees,700,'05,13,13,DH,L,HR S,,1-2,3-,4-6,7-10,11-14,15-,16-,-,17+
'04 115-1 UL,115,115-1,UL,Roger Clemens,Blue Jays,700,'04,5,8,Starter,R,20 CY K,1-2,3-8,9-15,16-17,18-,19-22,-,23-25,-,26+
'04 120 CC,120,120,CC,Willy McCovey,Giants,700,'04,13,11,1B+1,L,V HR S,-,1-2,3-,4-6,7-12,13-14,-,15-16,-,17+
'04 78-1 UL,78,78-1,UL,Craig Wilson,Pirates,690,'04,14,10,"1B+1, LF-RF+0",R,,-,1-2,3-5,6-,7-9,10-14,-,15-18,-,19+
'04 125-1 CC,125,125-1,CC,Mike Schmidt,Phillies,690,'04,13,14,3B+4,R,V HR G S,-,1-3,4-,5-6,7-11,12-15,-,16-,-,17+
'02 94 SS,94,94,SS,Barry Bonds '90,Pirates,680,'02,13,21,LF-RF+3,L,[ S G V ],-,1-3,4-5,6-,7-12,13-14,15-,16-17,-,18+
'03 22-1 UL,22,22-1,UL,Curt Schilling,Diamondbacks,680,'03,6,7,Starter,R,20,1-2,3-9,10-14,15-17,-,18-19,-,20-22,-,23+
'04 105-1 UL,105,105-1,UL,Javy Lopez,Orioles,680,'04,12,10,C+7,R,S,-,1-2,3-4,5-6,7-8,9-15,-,16-17,-,18+
'04 29-1 UL,29,29-1,UL,Javy Lopez,Braves,680,'04,12,10,C+7,R,S,-,1-2,3-4,5-6,7-9,10-15,-,16-17,-,18+
'03 139 UL,139,139,UL,Lance Berkman,Astros,680,'03,13,12,OF+0,S,,-,1-2,3-4,5-6,7-11,12-15,-,16-17,-,18+
'03 145 RS,145,145,RS,Nomar Garciaparra '97,Red Sox,680,'03,12,17,SS+4,R,RY S,-,1-,2-4,5-,6-8,9-14,15-,16-17,18-,19+
'04 114-1 UL,114,114-1,UL,Greg Maddux,Braves,670,'04,6,7,Starter,R,CY,1-2,3-7,8-15,16-17,-,18-19,-,20-23,-,24+
'04 292 UL,292,292,UL,Jason Schmidt,Giants,670,'04,6,7,Starter,R,,1-3,4-8,9-13,14-16,17-,18-19,-,20-25,-,26+
'04 68-1 UL,68,68-1,UL,Mark Prior,Cubs,670,'04,5,7,Starter,R,K,1-2,3-10,11-14,15-18,19-,20-,-,21-25,-,26+
'02 106 SS,106,106,SS,Rickey Henderson '90,Athletics,670,'02,14,26,LF-RF+2,R,[ S SB V ],-,1-,2-4,5-6,7-12,13-,14-15,16-18,19-,20+
'05 164-1 UL,164,164-1,UL,Adrian Beltre,Dodgers,660,'05,12,12,3B+2,R,HR S,,1-,2-4,5-7,8-9,10-15,-,16-17,-,18+
'04 125 CC,125,125,CC,Bob Feller,Indians,660,'04,6,8,Starter,R,K 20,1-,2-9,10-12,13-16,17-,18-20,-,21-25,-,26+
'02 110 SS,110,110,SS,Edgar Martinez '95,Mariners,660,'02,15,12,3B+0,R,[ S ],-,1-4,5-6,7-,8-12,13-15,-,16-19,-,20+
'03 57-1 UL,57,57-1,UL,Pedro Martinez,Red Sox,660,'03,6,7,Starter,R,K 20,1-,2-7,8-12,13-16,17-,18-20,-,21-23,-,24+
'00 71-1 1st,71,71-1,1st,Pedro Martinez,Red Sox,660,'00,5,7,Starter,R,,10-11,1-9,12-14,15-17,-,18-19,-,20-,-,-
'02 47 ASG,47,47,ASG,Sammy Sosa,Cubs,660,'02,12,13,LF-RF+1,R,[ S HR ],-,1-3,-,4-5,6-11,12-14,-,15-16,-,17+
'02 34 ASG,34,34,ASG,Todd Helton,Rockies,660,'02,13,14,1B+1,R,[ S G ],-,1-3,4-,5-6,7-11,12-14,15-,16-17,18-,19+
'03 185 UL,185,185,UL,Vladimir Guerrero,Expos,660,'03,13,21,LF-RF+2,R,S,-,1-,2-3,4-6,7-10,11-14,15-16,17-18,-,19+
'04 104-1 UL,104,104-1,UL,Alex Rodriguez,Yankees,650,'04,13,14,"SS+5, 3B+1",R,V HR G S,-,1-2,3-4,5-6,7-11,12-14,15-,16-17,-,18+
'01 370 1st,370,370,1st,Barry Bonds,Giants,650,'01,10,B,LF-RF+1,L,,-,1-,-,2-3,4-10,11-12,13-,14-15,-,16-20
'01 370 UL,370,370,UL,Barry Bonds,Giants,650,'01,10,B,LF-RF+1,L,,-,1-,-,2-3,4-10,11-12,13-,14-15,-,16-20
'00 21-1 1st,21,21-1,1st,Carl Everett,Red Sox,650,'00,10,A,OF+2,S,,-,1-2,3-,4-5,6-9,10-14,15-,16-17,-,18-20
'04 21-1 UL,21,21-1,UL,Curt Schilling,Diamondbacks,650,'04,4,7,Starter,R,,1-,2-7,8-12,13-17,18-,19-20,-,21-24,-,25+
'02 26 ASG,26,26,ASG,Lance Berkman,Astros,650,'02,13,14,LF-RF+1,S,,-,1-2,3-4,5-6,7-12,13-15,-,16-17,-,18+
'02 120-1 UL,120,120-1,UL,Larry Walker,Rockies,650,'02,13,16,LF-RF+1,L,[ G ],-,1-2,3-5,-,6-10,11-15,-,16-17,-,18+
'03 122 CC,122,122,CC,Reggie Jackson,Athletics,650,'03,11,13,LF-RF+1,L,HR S V,-,1-2,3-,4-6,7-10,11-14,15-,16-,-,17+
'04 113-1 UL,113,113-1,UL,Todd Helton,Rockies,650,'04,14,11,1B+1,L,S,-,1-,2-4,5-6,7-10,11-15,-,16-18,-,19+
'04 124-1 CC,124,124-1,CC,Warren Spahn,Braves,650,'04,6,9,Starter,L,CY,1-3,4-9,10-15,16-17,18-,19-20,-,21-22,-,23+
'05 311 UL,311,311,UL,Albert Pujols,Cardinals,640,'05,13,11,1B+1,R,HR S,,1-,2-4,5-,6-10,11-16,-,17-18,-,19+
'01 39-1 1st,39,39-1,1st,Alex Rodriguez,Rangers,640,'01,10,B,SS+4,R,,-,1-,2-,-,3-9,10-13,14-,15-16,-,17-20
'02 45 ASG,45,45,ASG,Curt Schilling,Diamondbacks,640,'02,5,7,Starter,R,[ 20 K ],1-2,3-10,11-14,15-18,-,19-,-,20-,-,21+
'02 102 SS,102,102,SS,Gary Sheffield '96,Marlins,640,'02,14,15,LF-RF+1,R,[ S HR ],-,1-2,3-,4-6,7-13,14-15,-,16-17,-,18+
'05 26-1 UL,26,26-1,UL,J.D. Drew,Dodgers,640,'05,14,13,LF-RF+1,L,,,1-2,3-4,5-6,7-12,13-15,16-17,18-,-,19+
'05 195 UL,195,195,UL,Johan Santana,Twins,640,'05,6,7,Starter,L,20 CY K,1-2,3-8,9-13,14-17,18-,19-21,-,22-23,-,24+
'03 113 SS,113,113,SS,Kevin Brown,Marlins,640,'03,6,7,Starter,R,,-,1-4,5-14,15-16,17-,18-20,-,21-22,-,23+
'04 245 UL,245,245,UL,Tim Hudson,Athletics,640,'04,5,8,Starter,R,,1-,2-5,6-14,15-17,18-,19-22,-,23-25,-,26+
'05 7-1 UL,7,7-1,UL,Vladimir Guerrero,Angels,640,'05,12,15,LF-RF+2,R,V S,,1-,2-3,4-6,7-9,10-15,16-,17-18,-,19+
'04 159 UL,159,159,UL,Carlos Beltran,Royals,630,'04,12,23,CF+3,S,,-,1-,2-4,5-6,7-10,11-13,14-16,17-,18-,19+
'04 174 UL,174,174,UL,Kevin Brown,Dodgers,630,'04,5,7,Starter,R,,1-,2-6,7-15,16-17,18-,19-23,-,24-26,-,27+
'02 31 ASG,31,31,ASG,Luis Gonzalez,Diamondbacks,630,'02,12,14,LF-RF+1,L,,-,1-,2-3,4-5,6-10,11-14,-,15-17,-,18+
'04 112-1 UL,112,112-1,UL,Mike Mussina,Orioles,630,'04,5,7,Starter,R,,1-2,3-7,8-14,15-17,18-,19-21,-,22-23,-,24+
'00 24-1 1st,24,24-1,1st,Randy Johnson,Diamondbacks,630,'00,3,8,Starter,L,,11-12,1-10,13-15,16-18,19-,20-,-,-,-,-
'03 102-1 UL,102,102-1,UL,Raul Mondesi,Yankees,630,'03,12,22,LF-RF+1,R,,-,1-2,3-,4-6,7-10,11-13,14-15,16-17,18-,19+
'04 113-2 UL,113,113-2,UL,Todd Helton,Rockies,630,'04,14,10,1B+1,L,S,-,1-,2-3,4-6,7-11,12-16,-,17-19,-,20+
'04 124 CC,124,124,CC,Tom Seaver,Mets,630,'04,6,7,Starter,R,CY 20,1-2,3-10,11-13,14-16,17-,18-21,-,22-23,-,24+
'04 333 UL,333,333,UL,Alex Rodriguez,Rangers,620,'04,13,16,SS+4,R,V HR G S,-,1-2,3-4,5-6,7-11,12-15,16-,17-,-,18+
'02 93 SS,93,93,SS,Alex Rodriguez '96,Mariners,620,'02,13,17,SS+4,R,[ S ],-,1-4,5-,6-,7-11,12-14,15-,16-17,18-,19+
'03 131-1 UL,131,131-1,UL,Jim Thome,Phillies,620,'03,13,10,1B+0,L,HR,-,1-2,3-,4-5,6-12,13-16,-,17-,-,18+
'02 113-1 UL,113,113-1,UL,Joel Pineiro,Mariners,620,'02,3,6,Starter,R,,1-4,5-9,10-14,15-19,20-28,-,-,-,-,29+
'04 82-1 UL,82,82-1,UL,Kevin Brown,Yankees,620,'04,5,7,Starter,R,,1-4,5-9,10-15,16-17,18-,19-22,-,23-24,-,25+
'00 156 1st,156,156,1st,Larry Walker,Rockies,620,'00,10,B,LF-RF+0,L,,-,-,1-,2-,3-7,8-13,14-,15-16,-,17-20
'04 123-1 CC,123,123-1,CC,Willie Stargell,Pirates,620,'04,12,10,"1B+0, OF+0",L,V HR S,-,1-3,4-,5-6,7-,8-14,-,15-17,-,18+
'03 224 UL,224,224,UL,Barry Zito,Athletics,610,'03,5,7,Starter,L,CY 20,1-2,3-6,7-11,12-17,18-19,20-21,-,22-,-,23+
'04 122-1 UL,122,122-1,UL,Bob Gibson,Cardinals,610,'04,5,9,Starter,R,V CY,1-2,3-10,11-14,15-16,17-19,20-22,-,23-28,-,29+
'00 347 1st,347,347,1st,Brian Giles,Pirates,610,'00,10,B,OF+1,L,,-,-,1-,2-4,5-10,11-14,-,15-16,-,17-20
'01 450 1st,450,450,1st,Carlos Delgado,Blue Jays,610,'01,11,C,1B+0,L,,-,1-,2-3,-,4-10,11-14,-,15-17,-,18-20
'01 450 P,450,450,P,Carlos Delgado,Blue Jays,610,'01,11,C,1B,L,,-,1-,2-3,-,4-10,11-14,-,15-17,-,18-20
'01 450 UL,450,450,UL,Carlos Delgado,Blue Jays,610,'01,11,C,1B,L,,-,1-,2-3,-,4-10,11-14,-,15-17,-,18-20
'00 37-1 1st,37,37-1,1st,Chipper Jones,Braves,610,'00,10,A,3B+2,S,,-,1-,2-3,4-,5-11,12-14,15-,16-17,-,18-20
'00 37 DS,37,37,DS,Chipper Jones,Braves,610,'00,10,A,3B+2,S,,-,1-,2-3,4-,5-11,12-14,15-,16-17,-,18-20
'00 37 HRH,37,37,HRH,Chipper Jones,Braves,610,'00,10,A,3B+2,S,,-,1-,2-3,4-,5-11,12-14,15-,16-17,-,18-20
'03 101-1 UL,101,101-1,UL,Esteban Loaiza,White Sox,610,'03,5,7,Starter,R,,1-,2-6,7-13,14-17,18-,19-22,-,23-24,-,25+
'04 119-1 CC,119,119-1,CC,Jim Palmer,Orioles,610,'04,6,8,Starter,R,CY 20,1-2,3-9,10-13,14-16,17-18,19-20,-,21-23,-,24+
'04 115-2 UL,115,115-2,UL,Manny Ramirez,Red Sox,610,'04,14,11,LF-RF+0,R,,-,1-2,3-,4-6,7-12,13-16,-,17-18,-,19+
'04 74-1 UL,74,74-1,UL,Mike Lowell,Marlins,610,'04,13,16,3B+3,R,,-,1-,2-3,4-6,7-10,11-16,-,17-18,-,19+
'02 113 SS,113,113,SS,Sammy Sosa '98,Cubs,610,'02,13,15,LF-RF+1,R,[ S HR V ],-,1-6,-,7-,8-12,13-15,-,16-,-,17+
'04 347 UL,347,347,UL,Vernon Wells,Blue Jays,610,'04,12,12,CF+2,R,S,-,1-,2-3,4-5,6-7,8-15,-,16-18,-,19+
'04 107-1 UL,107,107-1,UL,Vladimir Guerrero,Expos,610,'04,12,14,LF-RF+1,R,,-,1-,2-4,5-6,7-8,9-14,15-16,17-18,-,19+
'04 121-1 UL,121,121-1,UL,Al Kaline,Tigers,600,'04,13,11,LF-RF+2,R,G S,-,1-,2-4,5-6,7-9,10-16,-,17-18,-,19+
'03 144 RS,144,144,RS,Albert Pujols '01,Cardinals,600,'03,13,10,"3B+1, LF-RF+1",R,RY S,-,1-2,3-5,6-8,9-11,12-16,-,17-18,-,19+
'02 19 ASG,19,19,ASG,Alex Rodriguez,Rangers,600,'02,12,16,SS+3,R,[ S HR G ],-,1-3,4-5,6-,7-10,11-14,15-,16-17,-,18+
'03 120 CC,120,120,CC,Brooks Robinson,Orioles,600,'03,11,15,3B+5,R,G S V,-,1-,2-4,5-6,7-10,11-18,-,19-,-,20+
'00 340 1st,340,340,1st,Curt Schilling,Phillies,600,'00,6,8,Starter,R,,6-7,1-5,8-11,12-15,16-,17-19,-,20-,-,-
'04 123 CC,123,123,CC,Eddie Mathews,Braves,600,'04,13,13,3B+2,L,HR,-,1-3,4-,5-6,7-11,12-16,-,17-,-,18+
'03 130-1 UL,130,130-1,UL,Hideki Matsui,Yankees,600,'03,13,11,LF-RF+1,R,R,-,1-3,4-,5-6,7-12,13-16,-,17-18,-,19+
'04 77-1 UL,77,77-1,UL,Jack Wilson,Pirates,600,'04,13,16,"SS+2, 2B+2",R,,-,1-,2-3,4-6,7-,8-13,14-16,17-,18-19,20+
'03 254 UL,254,254,UL,Jeff Kent,Giants,600,'03,11,11,2B+3,R,S,-,1-,2-3,4-6,7-9,10-15,-,16-17,-,18+
'05 69-1 UL,69,69-1,UL,Kerry Wood,Cubs,600,'05,3,6,Starter,R,,1-2,3-9,10-14,15-19,-,20-,-,21-26,-,27+
'00 220 1st,220,220,1st,Kevin Brown,Dodgers,600,'00,5,7,Starter,R,,6-8,1-5,9-13,14-16,17-,18-19,-,20-,-,-
'02 19-1 UL,19,19-1,UL,Luis Gonzalez,Diamondbacks,600,'02,12,14,LF-RF+1,L,,-,1-,2-3,4-5,6-10,11-14,-,15-16,-,17+
'05 18-1 UL,18,18-1,UL,Randy Johnson,Diamondbacks,600,'05,6,8,Starter,L,K,1-2,3-9,10-13,14-16,17-,18-20,-,21-25,-,26+
'05 45-1 UL,45,45-1,UL,Randy Johnson,Yankees,600,'05,6,7,Starter,L,,1-2,3-9,10-13,14-16,17-,18-20,-,21-25,-,26+
'02 9 ASG,9,9,ASG,Roy Halladay,Blue Jays,600,'02,5,7,Starter,R,,1-2,3-6,7-14,15-16,17-,18-19,-,20-26,-,27+
'04 118 CC,118,118,CC,Whitey Ford,Yankees,600,'04,6,8,Starter,L,CY 20 K,1-3,4-10,11-14,15-16,17-,18-19,-,20-23,-,24+
'04 42-1 UL,42,42-1,UL,Albert Pujols,Cardinals,590,'04,13,11,1B+1,R,,-,1-0,2-4,5-,6-12,13-16,-,17-,-,18+
'04 70-1 UL,70,70-1,UL,Alfonso Soriano,Rangers,590,'04,12,20,2B+3,R,,-,1-,2-3,4-5,6-7,8-13,14-16,17-,18-19,20+
'05 171 CC,171,171,CC,Brooks Robinson,Orioles,590,'05,11,16,3B+5,R,G S V,,1-,2-4,5-6,7-10,11-16,17-,18-,19-,20+
'04 103-1 UL,103,103-1,UL,Esteban Loaiza,White Sox,590,'04,5,8,Starter,R,20 K,1-2,3-9,10-15,16-17,18-,19-21,-,22-24,-,25+
'02 6 ASG,6,6,ASG,Freddy Garcia,Mariners,590,'02,4,7,Starter,R,,1-3,4-9,10-14,15-18,-,19-,-,20-23,-,24+
'01 42-1 1st,42,42-1,1st,Greg Maddux,Braves,590,'01,6,7,Starter,R,,1-2,3-6,7-13,14-15,16-,17-19,-,20-,-,-
'01 42 AP,42,42,AP,Greg Maddux,Braves,590,'01,6,7,Starter,R,,1-2,3-6,7-13,14-15,16-,17-19,-,20-,-,-
'01 42 UL,42,42,UL,Greg Maddux,Braves,590,'01,6,7,Starter,R,,1-2,3-6,7-13,14-15,16-,17-19,-,20-,-,-
'00 391 1st,391,391,1st,Ken Griffey Jr.,Mariners,590,'00,9,A,"CF+2, LF-RF+1",L,,-,-,1-,2-5,6-10,11-13,14-,15-,-,16-20
'04 111-1 UL,111,111-1,UL,Nomar Garciaparra,Red Sox,590,'04,12,15,SS+2,R,,-,1-,2-4,5-6,7-8,9-14,15-,16-17,18-,19+
'03 166 UL,166,166,UL,Odalis Perez,Dodgers,590,'03,5,7,Starter,L,,1-4,5-8,9-15,16-17,18-,19-,-,20-22,-,23+
'03 56-1 UL,56,56-1,UL,Derek Lowe,Red Sox,580,'03,5,7,Starter,R,20,1-2,3-5,6-15,16-,17-,18-20,-,21-25,-,26+
'03 112 SS,112,112,SS,Greg Maddux,Cubs,580,'03,5,8,Starter,R,CY 20,1-,2-5,6-13,14-16,17-,18-19,-,20-23,-,24+
'05 23-1 UL,23,23-1,UL,J.D. Drew,Braves,580,'05,14,13,LF-RF+1,L,,,1-2,3-4,5-6,7-12,13-15,16-17,18-,-,19+
'05 290 UL,290,290,UL,Jason Schmidt,Giants,580,'05,5,7,Starter,R,,1-2,3-8,9-14,15-17,18-,19-20,-,21-25,-,26+
'01 375 1st,375,375,1st,Jeff Kent,Giants,580,'01,10,B,2B+3,R,,-,1-,-,2-3,4-8,9-13,14-,15-16,17-,18-20
'01 375 P,375,375,P,Jeff Kent,Giants,580,'01,10,B,2B+3,R,,-,1-,-,2-3,4-8,9-13,14-,15-16,17-,18-20
'01 375 UL,375,375,UL,Jeff Kent,Giants,580,'01,10,B,2B+3,R,,-,1-,-,2-3,4-8,9-13,14-,15-16,17-,18-20
'01 409 1st,409,409,1st,Mark McGwire,Cardinals,580,'01,10,C,1B+0,R,,-,1-2,-,-,3-12,13-14,-,15-,-,16-20
'01 409 UL,409,409,UL,Mark McGwire,Cardinals,580,'01,10,C,1B,R,,-,1-2,-,-,3-12,13-14,-,15-,-,16-20
'03 143 RS,143,143,RS,Mike Piazza '93,Dodgers,580,'03,11,10,C+5,R,RY S,-,1-,2-4,5-6,7-9,10-16,-,17-18,-,19+
'04 47-1 UL,47,47-1,UL,Nomar Garciaparra,Red Sox,580,'04,11,16,SS+2,R,,-,1-,2-3,4-6,7-8,9-14,15-,16-17,18-,19+
'03 100-1 UL,100,100-1,UL,Preston Wilson,Rockies,580,'03,11,16,OF+1,R,,-,1-2,3-4,5-6,7-10,11-14,15-,16-18,-,19+
'02 71-1 UL,71,71-1,UL,Sammy Sosa,Cubs,580,'02,12,13,LF-RF+1,R,[ S HR ],-,1-4,-,5-,6-10,11-14,-,15-16,-,17+
'02 115-1 UL,115,115-1,UL,Todd Helton,Rockies,580,'02,12,14,1B+1,L,,-,1-2,3-,4-5,6-10,11-14,-,15-17,-,18+
'04 339 UL,339,339,UL,Carlos Delgado,Blue Jays,570,'04,13,10,1B+1,L,HR S,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'04 4 P,4,4,P,Carlos Delgado,Blue Jays,570,'04,13,10,1B+1,L,HR S,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'00 416 1st,416,416,1st,Fernando Tatis,Cardinals,570,'00,10,A,3B+1,R,,-,1-3,-,4-5,6-11,12-14,15-,16-17,-,18-20
'02 296 UL,296,296,UL,Freddy Garcia,Mariners,570,'02,4,7,Starter,R,,1-3,4-7,8-14,15-18,-,19-,-,20-26,-,27+
'01 310 1st,310,310,1st,Jason Giambi,Athletics,570,'01,11,C,1B+0,L,,-,1-,-,2-,3-11,12-16,-,17-,-,18-20
'01 310 P,310,310,P,Jason Giambi,Athletics,570,'01,11,C,1B,L,,-,1-,-,2-,3-11,12-16,-,17-,-,18-20
'01 310 UL,310,310,UL,Jason Giambi,Athletics,570,'01,11,C,1B,L,,-,1-,-,2-,3-11,12-16,-,17-,-,18-20
'00 187 1st,187,187,1st,Jeff Bagwell,Astros,570,'00,10,A,1B+0,L,,-,1-,-,2-3,4-12,13-15,16-,17-,-,18-20
'03 105-1 UL,105,105-1,UL,Jim Thome,Indians,570,'03,13,8,1B+0,L,HR,-,1-2,3-4,5-6,7-12,13-16,-,17-,-,18+
'01 217 1st,217,217,1st,Kevin Brown,Dodgers,570,'01,4,7,Starter,R,,1-2,3-7,8-14,15-17,-,18-19,-,20-,-,-
'01 217 AP,217,217,AP,Kevin Brown,Dodgers,570,'01,4,7,Starter,R,,1-2,3-7,8-14,15-17,-,18-19,-,20-,-,-
'01 217 UL,217,217,UL,Kevin Brown,Dodgers,570,'01,4,7,Starter,R,,1-2,3-7,8-14,15-17,-,18-19,-,20-,-,-
'04 54-1 UL,54,54-1,UL,Manny Ramirez,Red Sox,570,'04,13,10,LF-RF+0,R,S,-,1-,2-3,4-6,7-11,12-16,-,17-18,-,19+
'00 412 1st,412,412,1st,Mark Mcgwire,Cardinals,570,'00,10,C,1B+0,R,,-,1-2,-,3-5,6-13,14-,-,15-,-,16-20
'00 412 HRH,412,412,HRH,Mark Mcgwire,Cardinals,570,'00,10,C,1B,R,,-,1-2,-,3-5,6-13,14-,-,15-,-,16-20
'04 68-2 UL,68,68-2,UL,Matt Clement,Cubs,570,'04,5,6,Starter,R,,-,1-6,7-14,15-17,18-,19-,-,20-26,-,27+
'02 230 UL,230,230,UL,Mike Mussina,Yankees,570,'02,5,7,Starter,R,,1-3,4-9,10-14,15-17,-,18-19,-,20-25,-,26+
'00 22-1 1st,22,22-1,1st,Ramon Martinez,Red Sox,570,'00,6,6,Starter,R,,6-7,1-5,8-11,12-15,16-17,18-19,-,20-,-,-
'02 288 UL,288,288,UL,Russ Ortiz,Giants,570,'02,4,7,Starter,R,,1-3,4-7,8-13,14-17,18-,19-26,-,-,-,27+
'05 313 UL,313,313,UL,Scott Rolen,Cardinals,570,'05,13,10,3B+3,R,G,,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'00 374 1st,374,374,1st,Barry Bonds,Giants,560,'00,9,A,LF-RF+1,L,,-,-,1-,2-5,6-12,-,13-,14-15,-,16-20
'00 374 HRH,374,374,HRH,Barry Bonds,Giants,560,'00,9,A,LF-RF+1,L,,-,-,1-,2-5,6-12,-,13-,14-15,-,16-20
'01 5-1 1st,5,5-1,1st,Barry Zito,Athletics,560,'01,6,7,Starter,L,,1-3,4-7,8-11,12-15,16-17,18-19,-,20-,-,-
'04 114-2 UL,114,114-2,UL,Carl Pavano,Devil Rays,560,'04,5,7,Starter,R,,1-3,4-7,8-13,14-17,-,18-19,-,20-25,-,26+
'02 34-1 UL,34,34-1,UL,Greg Maddux,Braves,560,'02,4,7,Starter,R,,1-3,4-7,8-14,15-17,-,18-25,-,-,-,26+
'05 269 UL,269,269,UL,Jack Wilson,Pirates,560,'05,11,12,SS+3,R,S,,1-,2-3,4-,5-6,7-15,-,16-18,19-,20+
'03 12-1 UL,12,12-1,UL,Jarrod Washburn,Angels,560,'03,5,6,Starter,L,,1-3,4-7,8-12,13-17,-,18-19,-,20-22,-,23+
'04 212 UL,212,212,UL,Javier Vazquez,Expos,560,'04,5,7,Starter,R,,1-,2-7,8-12,13-16,17-,18-19,-,20-23,-,24+
'01 186 1st,186,186,1st,Jeff Bagwell,Astros,560,'01,10,B,1B+0,R,,-,1-2,-,3-,4-10,11-14,-,15-16,-,17-20
